wuu,wen,count
阿,卬,6
拉,你,6
试,试,2
-,眙,1
哏,那,1
末,就,1
-,訾,5
哪,那,4
能,能,3
呢,爻,1
侬,-,9
勿,覅,8
要,-,8
瞎,-,1
讲,讲,11
-,废,1
-,话,1
搿,居,14
只,个,2
苹,苹,3
果,果,4
老,-,4
酸,酸,1
个,显,2
-,酸,1
忘,悗,4
记,记,4
脱,爻,3
明,明,2
朝,朝,1
-,六,1
点,点,2
钟,钟,1
-,走,8
来,来,8
寻,接,1
我,我,45
相,相,5
信,信,5
伊,渠,24
是,是,22
个,个,44
聪,聪,1
人,人,14
啥,-,2
辰,若,1
光,能,2
出,届,1
发,走,1
最,最,3
方,方,1
便,便,1
侬,啊,1
-,你,3
永,永,2
远,远,4
会,-,2
得,-,6
脱,-,2
侬,你,33
打,打,5
算,算,2
拿,逮,10
手,手,3
表,表,2
送,送,1
拨,匄,2
-,居,6
搿,厘,1
眼,书,1
啥,何,5
-,乜,4
书,-,1
条,条,1
规,规,1
则,定,1
勿,否,8
-,若,3
啥,能,2
个,届,4
辰,沃,2
光,-,2
侪,可,1
适,以,1
用,用,2
天,天,3
气,气,1
每,每,2
日,日,1
-,沃,3
天,是,1
侪,-,1
垃,-,6
海,得,2
变,变,1
应,应,3
该,该,3
-,伉,3
跟,你,1
㑚,爸,1
爷,妈,1
娘,-,2
谈,谈,1
清,一,1
爽,谈,1
先,先,1
呒,参,1
没,加,1
多,个,1
少,-,2
-,并,1
垃,否,1
海,多,1
阿,我,2
拉,厘,3
结,结,2
论,论,1
就,就,3
诶,许,1
额,个,2
传,传,2
言,言,1
真,真,1
汤,汤,2
姆,姆,2
回,走,3
到,-,3
乡,乡,1
下,下,3
头,转,1
了,哦,1
-,罢,2
眼,-,1
古,厘,1
老,老,5
习,习,2
俗,俗,1
侪,沃,5
一,一,13
代,代,2
传,-,1
统,-,1
来,-,8
穿,着,2
侪,乜,2
好,好,8
看,眙,10
房,屋,4
子,宕,2
家,间,1
家,一,1
着,间,1
起,能,1
火,烧,1
来,起,1
昨,昨,1
日,夜,1
个,妆,1
道,嚷,1
理,冇,1
勿,走,1
房,-,1
间,间,4
-,里,4
除,除,2
-,爻,7
脱,一,1
张,张,1
桌,桌,1
凳,-,1
别,-,1
样,就,1
物,-,1
事,何,1
呒,沃,1
没,冇,3
过,过,4
了,去,1
三,三,4
天,日,3
侪,新,2
晓,晓,3
得,得,3
原,原,1
失,走,1
踪,狃,1
-,宕,2
了,罢,6
辰,-,1
懂,你,1
勿,晓,1
懂,得,1
部,台,1
照,-,2
机,机,2
-,啊,9
伐,伐,11
按,-,1
跟,叫,1
讲,那,1
个,做,1
搿,你,1
能,就,1
-,那,1
做,做,5
老,很,2
欢,-,1
喜,喜,1
垃,欢,1
-,缩,1
电,电,6
视,视,2
浪,-,2
向,上,3
网,网,1
球,球,3
比,比,4
赛,赛,1
个,-,15
哀,许,3
幅,幅,1
画,画,1
印,印,1
象,象,1
派,派,1
大,大,7
师,师,3
级,级,1
作,作,3
-,品,1
拉,位,1
垃,于,1
赤,赤,1
道,道,1
附,边,2
近,埏,2
邪,-,1
气,狭,1
笑,-,1
区,区,2
域,域,2
热,热,2
带,带,3
雨,雨,3
林,林,3
-,正,1
-,是,4
-,搭,1
勿,不,2
停,停,1
个,能,1
-,遭,1
受,受,1
类,类,1
破,破,1
坏,坏,1
预,预,1
计,计,1
拉,是,1
两,二,1
零,零,3
年,年,4
之,之,3
前,前,2
-,会,4
个,有,1
五,五,2
分,分,1
四,四,2
将,缩,1
从,-,1
地,地,1
浪,上,2
消,消,1
失,失,1
学,学,4
会,习,1
控,控,1
制,制,1
自,你,1
家,己,1
情,脾,1
绪,气,1
屋,屋,4
里,-,3
向,宕,2
乱,乱,1
七,七,1
八,八,3
糟,糟,1
也,也,5
呒,-,3
问,问,2
题,题,2
但,但,1
龌,鏖,1
龊,糟,1
闲,-,2
话,话,6
是,l,1
-,e,1
勿,i,1
能,否,1
够,-,1
接,落,1
受,-,1
像,何,1
啥,乜,4
事,事,6
体,干,1
依,-,1
靠,靠,1
-,渠,2
公,公,1
坐,坐,1
了,居,1
角,角,1
落,落,2
里,里,5
男,男,3
人,个,3
谢,-,1
谢,请,1
拿,你,1
搿,逮,1
故,故,1
从,从,2
头,头,3
到,到,3
底,尾,1
-,匄,3
-,卬,1
拨,一,1
阿,-,3
拉,-,6
听,遍,1
可,可,6
以,以,8
去,去,1
定,定,2
要,着,5
考,考,1
虑,虑,1
-,灵,1
清,清,1
爽,你,1
侬,己,1
想,想,9
哪,狃,1
样,色,2
工,工,2
放,放,1
假,假,1
啊,-,1
耷,-,1
去,走,4
白,狃,1
相,宕,1
呢,嬉,1
一,切,1
劈,成,1
两,两,2
-,对,1
-,半,1
些,厘,1
树,树,2
种,种,2
-,起,1
瑞,瑞,1
士,士,1
多,部,1
数,分,1
会,会,8
语,话,1
言,-,6
搿,个,2
房,房,2
禁,禁,1
止,止,1
吃,吃,3
香,香,1
烟,烟,1
走,走,2
路,路,2
搿,宕,2
搭,哩,1
老,会,1
痛,痛,1
懂,了,1
得,会,2
弹,弹,3
钢,钢,2
琴,琴,3
还,还,4
懂,-,1
吉,吉,1
他,他,1
伊,-,3
要,他,1
花,着,1
钟,小,1
头,-,1
才,时,1
好,-,2
挪,-,1
-,新,1
光,好,1
老,真,1
拉,缩,2
T,T,2
a,a,4
t,t,2
o,o,2
e,e,2
b,b,2
写,写,2
交,多,3
关,显,1
关,个,2
句,句,2
子,子,2
但,可,1
是,惜,1
-,还,3
有,有,8
别,别,3
个,样,1
体,个,2
等,匄,1
决,决,1
伐,-,1
圣,圣,1
诞,诞,1
节,节,1
-,快,1
快,罢,1
生,生,1
意,意,1
-,厘,6
点,了,1
榔,-,1
头,铰,1
剪,剪,1
刀,石,1
纸,-,1
-,布,1
帮,-,1
侬,伉,1
再,再,3
会,见,1
了,爻,5
对,对,3
个,爻,1
桩,件,1
要,你,1
跟,-,1
搭,宕,2
亭,亭,1
少,少,2
了,显,1
可,少,1
怜,-,1
今,该,1
朝,日,1
留,-,1
向,啊,1
告,伉,4
诉,-,4
-,讲,8
错,狃,1
拉,宕,1
里,赚,1
搭,爻,1
伐,罢,1
影,影,1
个,乜,1
水,水,2
红,红,1
颜,-,1
色,-,2
能,-,2
认,认,1
得,识,1
路,能,1
光,清,2
常,清,1
常,能,2
只,只,3
插,插,1
裤,裤,2
袋,兜,1
开,开,4
始,始,1
暗,暗,1
麻,麻,1
烦,烦,1
帮,逮,1
-,灯,1
-,一,2
灯,开,1
前,早,1
住,住,2
被,渠,1
拆,拆,1
脱,罢,2
了,-,10
堂,堂,2
女,奶,1
小,儿,2
人,娒,2
多,多,2
-,日,1
早,-,1
浪,光,1
向,-,2
喝,呷,1
杯,杯,1
垃,缩,1
海,居,1
搭,-,3
十,十,4
后,后,1
份,份,1
文,文,1
件,件,1
有,-,1
得,恁,1
多,-,1
重,重,1
要,要,1
-,我,1
阿,阿,2
姆,-,1
妈,妈,2
搿,-,1
辰,许,1
-,届,2
轻,轻,2
跟,伉,3
-,喜,1
欢,欢,1
喜,-,1
动,动,2
小,-,1
姑,女,1
娘,个,1
婚,婚,1
点,厘,1
咖,咖,1
啡,啡,1
太,忒,2
小,小,2
装,坐,1
牢,入,1
中,中,1
国,国,2
亚,亚,2
洲,洲,1
-,个,2
家,-,1
用,-,1
怕,吓,1
伤,-,1
害,害,1
垃,渠,1
海,缩,1
参,参,1
加,加,1
了,多,1
-,显,2
活,活,2
礼,星,1
拜,期,1
下,后,1
半,半,1
钟,-,1
收,-,1
作,-,1
好,你,1
物,物,2
-,理,1
了,好,1
伐,啊,1
-,未,1
喏,眙,1
帮,帮,1
修,修,1
理,-,1
当,留,1
心,心,1
扒,-,1
手,贼,1
台,张,1
子,桌,1
请,请,2
名,名,1
字,字,1
号,号,1
头,码,1
实,实,2
讲,话,2
其,其,1
留,留,1
向,个,1
出,出,1
继,-,1
续,接,1
白,-,1
相,下,1
-,嬉,1
吵,吵,1
到,着,1
可,-,1
以,用,1
了,着,1
是,何,1
声,声,1
音,音,1
牙,牙,2
医,医,1
拔,拔,1
场,场,1
子,-,1
多,几,1
少,厘,1
猫,猫,1
-,儿,1
书,书,6
还,匄,1
拨,-,2
图,图,1
馆,馆,1
箇,许,1
本,本,1
-,笔,1
簿,记,1
子,本,1
边,边,2
-,爸,1
-,妈,1
爷,-,1
垃,是,3
海,狃,2
阿,宕,2
里,啊,2
忒,忒,1
快,快,2
听,听,1
懂,懂,1
慢,慢,1
眼,厘,2
讲,-,2
呒,冇,1
没,何,1
分,区,1
梦,梦,1
没,-,1
-,否,2
得,缩,1
耷,宕,1
踫,碰,1
着,着,1
个,你,1
-,能,1
辰,清,1
常,-,1
棒,棒,1
摩,摩,1
托,托,1
车,车,2
戴,戴,1
盔,盔,1
是,-,1
危,危,1
险,险,1
-,危,1
-,险,1
海,-,2
爸,-,1
爸,爸,2
妈,-,1
子,里,1
扫,扫,1
干,光,1
净,生,1
从,缩,1
书,树,1
高,上,1
头,遁,1
下,-,1
来,罢,1
挪,逮,1
门,门,1
涂,涂,1
成,成,1
绿,绿,1
颜,个,1
色,爻,1
如,当,1
果,当,1
勿,能,1
落,下,1
话,你,1
去,踏,1
踏,踏,1
脚,脚,1
踏,-,1
-,去,1
买,买,1
眼,儿,1
司,司,1
匹,匹,1
看,你,1
整,起,1
个,满,1
嘴,嘴,1
巴,上,1
意,义,1
利,利,2
文,-,1
得,啊,2
棵,座,1
倒,倒,1
条,-,1
-,塞,1
砬,爻,1
断,罢,1
本,-,1
裁,剫,1
老,亲,1
公,爱,1
上,得,1
床,床,1
啦,呐,1
勿,未,1
来,还,1
自,未,1
啊,呐,1
还,缩,1
翻,-,1
翻,上,1
几,还,1
句,有,1
哦,着,1
-,翻,1
-,译,1
英,英,2
文,语,2
-,逮,1
-,火,1
关,关,1
火,爻,1
滚,开,1
蛋,来,1
-,烦,1
了,起,1
怨,-,1
煞,爻,1
-,随,1
-,便,1
有,能,1
-,问,1
-,何,1
就,可,1
问,-,1
好,以,1
唻,-,1
悉,雪,1
尼,梨,1
离,远,1
箇,-,1
墶,显,1
牛,牛,1
仔,仔,1
京,京,1
都,都,1
个,多,1
神,神,1
社,社,1
当,许,1
辰,能,1
光,届,1
该,訾,1
办,妆,1
滚,滚,1
-,远,1
蛋,哩,1
母,母,1
语,语,1
法,法,2
国,-,1
话,语,2
哀,恰,1
个,是,1
垃,搭,1
拉,拉,1
提,提,1
-,许,1
-,每,1
上,着,1
起,伉,1
像,我,1
-,相,1
爸,像,1
浇,浇,1
花,花,1
静,静,1
点,-,1
伐,厘,1
魔,魔,1
哪,到,1
-,底,1
恁,訾,1
勒,那,1
啦,爻,1
阿,若,1
里,本,1
簿,-,1
-,覅,1
-,狡,1
钥,锁,1
匙,匙,1
孛,-,1
相,-,1
勿,-,1
鼠,鼠,1
死,死,1
哪,好,1
能,啊,1
-,伐,1
谢,谢,2
噢,-,1
中,-,1
国,汉,1
悉,悉,2
尼,尼,2
离,伉,1
箇,居,1
墶,宕,1
老,死,1
-,人,1
澳,澳,1
城,城,1
市,市,1
世,世,2
界,界,2
哴,-,2
超,超,2
万,万,2
讲,用,1
巴,巴,2
斯,斯,2
克,克,2
高,高,2
-,哩,1
为,訾,1
啥,那,1
勿,就,1
-,冇,1
-,呢,1
拉,个,1
爷,爸,1
娘,妈,1
期,期,1
望,望,1
过,忒,1
覅,覅,1
隑,-,1
了,靠,1
墙,墙,1
头,上,1
浪,赖,1
