,cmn_id,cmn_sentence,wuu_sentence,wen_sentence,yue_sentence
0,1,我们试试看！,阿拉试试！,卬你试试眙！,我哋试吓吖！
1,51,那又怎样?,哏末哪能呢？,那就訾那能爻？,嗯，咁呢？
2,339240,不要说废话！,侬勿要瞎讲！,覅讲废话！,唔好喺度乱噏廿四！
3,340093,这个苹果很酸。,搿只苹果老酸个。,居个苹果酸显酸。,呢粒苹果好酸。
4,342196,别忘了明天六时来接我。,勿要忘记脱明朝6点钟来寻我。,覅悗记爻明朝六点钟走来接我。,唔好唔记得听日六点嚟搵我喎。
5,342695,我相信他是个聪明人。,我相信伊是个聪明人。,我相信渠是个聪明人。,我谂佢系聪明人嚟嘅。
6,344942,什么时候出发最方便你？,啥辰光出发最方便侬？,若能届走最方便啊你？,几时出发最方便你？
7,345745,我永远不会忘记你。,我永远勿会得忘记脱侬。,我永远覅悗记你。,我永远都唔会忘记你。
8,364949,我打算把这块手表送给你。,我打算拿搿只手表送拨侬。,我打算逮居个手表送匄你。,我谂住送呢只表俾你。
9,372367,这些书是谁的？,搿眼是啥人个书？,居厘书是何乜人个？,啲书边个㗎？
10,378275,这条规则不是什么时候都适用的。,搿条规则勿是啥个辰光侪适用个。,居条规定否是若能届沃可以用个。,呢条规则唔系几时都啱用㗎。
11,385476,天气每天都在变。,天气每日天侪垃海变。,天气每日沃是得变。,天气每日都喺度变紧。
12,385591,你应该先和你的父母谈谈。,侬应该跟㑚爷娘谈清爽先。,你应该伉你爸妈谈一谈先。,你应该同你阿爸阿妈倾吓先。
13,385992,参加的人并不多。,呒没多少人垃海。,参加个人否何乜多。,唔系好多人有嚟。
14,386705,我们的结论就是，那个传言是真的。,阿拉个结论就是，诶额传言是真个。,我厘个结论就是，许个传言是真个.,我哋嘅结论就系，个传言系真嘅。
15,387698,汤姆回乡下了。,汤姆回到乡下头了。,汤姆走乡下转哦罢。,阿 Tom 返咗乡下。
16,388364,这些古老习俗都是一代一代相传下来的。,搿眼古老个习俗侪是一代一代传统传下来个。,居厘老个习俗沃是一代一代传下个。,呢啲古老嘅习俗都系一代一代噉传落嚟嘅。
17,389455,她穿什么都好看。,伊穿啥侪好看。,渠着何乜沃好眙。,佢着咩都咁靓。
18,389463,房子一间一间地着了火。,房子一家家着起火来。,屋宕一间一间能烧起。,啲屋一间一间噉着咗火。
19,389881,她昨天为什么不来？,伊昨日啥个道理勿来？,渠昨夜妆嚷冇走来？,佢寻日做咩唔嚟嘅？
20,395671,他的房间除了一张桌子，就什么也没有了。,伊个房间、除脱张桌凳，别样物事侪呒没。,渠个间里除爻一张桌，就何乜沃冇。,佢间房除咗张枱，就咩都无喇。
21,397081,过了三天我才知道原来她失踪了。,过了三天我侪晓得原来伊失踪了。,过去三日我新晓得原来渠走狃宕爻罢。,过咗三日我先知原来佢失咗踪。
22,402196,你什么时候回来？,侬啥个辰光回来？,你若能届走来？,你几时返嚟呀？
23,403351,你懂得用这台相机吗？,侬懂勿懂用搿部照相机伐？,你晓得用居台相机啊伐?,你识唔识用呢部相机呀？
24,403434,我叫你怎么做，你就怎么做。,按照我跟侬讲个搿能做。,我叫你訾那做，你就訾那做。,我叫你点做，你就点做。
25,403446,她很喜欢在电视上看网球比赛。,伊老欢喜垃电视浪向看网球比赛个。,渠很喜欢缩电视上眙网球比赛。,佢好锺意喺电视度睇网球比赛。
26,403601,那幅画是印象派的大师级作品。,哀幅画是印象派个大师级作。,许幅画是印象派个大师级作品。,嗰幅画系印象派嘅大师级作品。
27,403617,位处赤道附近一个狭窄区域的热带雨林，正在不断地遭受人类的破坏，预计在二零零零年之前，该区域将会有五分之四的热带雨林从地球上消失。,拉垃赤道附近一个邪气笑个区域个热带雨林勿停个受到人类个破坏，预计拉垃两零零零年之前，搿个区域个五分之四个热带雨林将会得从地球浪消失。,位于赤道边埏一个狭个区域个热带雨林，正是搭不停能遭受人类个破坏，预计是二零零零年之前，居区域会有五分之四个热带雨林缩地球上消失。,喺赤道附近一个狭窄区域嘅热带雨林，而家不断咁俾人类破坏紧，预计喺二零零零年之前，嗰个区域会有五分之四嘅热带雨林喺地球度消失。
28,406578,你应该学习控制自己的情绪。,侬应该学会控制自家个情绪。,你应该学起控制你己个脾气。,你应该学吓控制自己嘅情绪。
29,406594,房子乱七八糟也没问题，但是肮脏的话我接受不了。,屋里向乱七八糟也呒没问题个，但龌龊个闲话我是勿能够接受个。,屋宕乱七八糟也冇问题，但是鏖糟个话我□否落。,啲屋狗窦咁乱我都顶得顺，但系污糟嘅话我就接受唔到。
30,413239,她什么事也依赖老公。,伊像啥事体侪依靠老公个。,渠何乜事干沃靠渠老公。,佢咩事都靠晒个老公。
31,415702,坐在角落的那个男人是谁？,坐了角落里个哀个男人是啥人？,坐居角落里个许个男个是何乜人啊？,坐喺角落头嗰个男人系边个嚟㗎？
32,417260,请你把故事从头到尾给我们说一遍。,谢谢侬拿搿个故事从头到底讲拨阿拉听。,请你逮故事从头到尾匄卬你讲一遍。,唔该你将个故事由头到尾讲晒俾我地听。
33,417762,你可以带我去吗？,侬可以带我去伐？,你可以带我走去伐？,你可唔可以带我去呀？
34,418565,你一定要考虑清楚你想做怎么样的工作。,侬一定要考虑清爽侬想做哪能样个工作。,你一定着考虑灵清你己想做狃能色个工作。,你一定要谂清楚你想做啲点嘅工。
35,419247,你放假打算去什么地方玩呢？,侬放假打算到啊里耷去白相呢？,你放假打算走狃宕嬉？,你放假谂住去边度玩呀？
36,419262,她把苹果切成了两半。,伊拿苹果一劈两。,渠逮苹果切成两对半。,佢将个苹果切开咗两分。
37,422012,这些树是他们种的。,搿些树是伊拉种个。,居厘树是渠厘种起个。,呢啲树系佢哋种嘅。
38,428994,瑞士人大多能说三、四种语言。,瑞士人大多数会得讲三、四种语言。,瑞士人大部分会讲三、四种话。,瑞士人多数识讲三、四种语言。
39,430240,这房间是禁止吸烟的。,搿房间是禁止吃香烟个。,居个房间是禁止吃香烟个。,呢间房唔俾食烟㗎。
40,430242,我一走路，这里就很痛。,我一走路，搿搭就老痛个。,我一走路，居宕哩就会痛。,我一行路，呢度就痛到好犀利。
41,430425,她除了懂得弹钢琴，还懂得弹吉他。,伊除脱懂得弹钢琴，还懂得弹吉他。,渠除了会弹钢琴，还会弹吉他。,佢除咗识弹琴，仲识弹结他添。
42,430432,她会弹钢琴吗？,伊会得弹钢琴伐？,渠会弹钢琴啊伐？,佢识唔识弹琴㗎？
43,430468,我想他得花两个小时才能把工作做完。,我想伊要花两个钟头才好挪工作做光。,我想他着两个小时工作新会做好。,我谂佢要用两粒钟先至做得晒啲嘢。
44,431903,我真想在 Tatoeba 写很多很多的句子，不过我有别的事要做。,我老想拉垃 Tatoeba 浪写交关交关句子，但是我有别个事体要做。,我真想缩Tatoeba上写多显多个句子，可惜我还有别样事干着做。,我真系好想喺 Tatoeba 写好多好多句句子，但系我有第二啲嘢要做。
45,457561,我们还是让老师决定吧。,阿拉还是等老师决定伐。,卬你还是匄老师决定。,我哋都系等老师话事啦。
46,458158,圣诞节快到了，生意也好了点。,圣诞节到快，生意也好点。,圣诞节快到罢， 生意也好厘爻。,圣诞节就快到，生意都好咗啲。
47,459053,剪刀、石头、布。,榔头，剪刀，纸头。,铰剪、石头、布。,包、剪、𢱕。
48,461508,我要和你说再见了。,我要帮侬讲再会了。,我着伉你讲再见爻。,我要同你讲拜拜喇。
49,466298,对了，我有一件事要告诉你。,对个，我有桩事体要跟侬讲。,对爻，我有件事干伉你讲。,话时话，我有啲嘢要同你讲。
50,466311,这里附近的电话亭少得可怜。,搿搭附近个电话亭少了可怜。,居宕边埏个电话亭少显少。,呢度附近啲电话亭少到阿妈都唔认得。
51,466361,汤姆今天要留在家中吗？,汤姆今朝要留拉屋里向伐？,汤姆该日着缩屋里啊伐？,阿 Tom 今日使唔使留喺屋企呀？
52,469443,你可以告诉我我错在哪儿吗？,侬可以告诉我我错拉阿里搭伐？,你可以伉我讲我狃宕赚爻罢？,你可唔可以话我知我错喺边呀？
53,469462,电影好看吗？,电影好看伐？,电影好眙伐？,套戏好唔好睇呀？
54,470240,什么水果是红色的？,啥个水果是红颜色个？,何乜水果是红个？,有咩生果系红色㗎？
55,470243,你是怎么认识她的？,侬是哪能认得伊个？,你是訾那认识渠个？,你点识佢㗎？
56,470251,他走路时常常把一只手插在裤袋里。,伊走路个辰光常常拿一只手插拉裤袋里。,渠走能届沃清清能逮一只手插裤兜里。,佢行路嗰阵成日插只手落个裤袋度。
57,470259,天色开始暗了。麻烦你帮我开灯。,天色开始暗了。麻烦侬帮我开灯。,天开始暗爻罢。麻烦你逮我灯开一开。,个天开始黑啰喎。唔该帮我开咗盏灯佢吖。
58,470261,我们以前住的房子被拆毁了。,阿拉以前住个房子被拆脱了。,卬你以早住个屋宕匄渠拆爻罢。,我哋以前住嗰间屋俾人拆咗喇。
59,470278,这间学校女孩比男孩多。,搿间学堂女小人比男小人多。,居间学堂奶儿娒比男儿娒多厘。,呢间学校女仔多过男仔。
60,470286,他每天早上都会喝一杯水。,伊每天早浪向侪会喝一杯水。,渠每日天光沃会呷一杯水。,佢朝朝早都会饮一杯水。
61,470461,我在这里住了三十年了。,我垃海搿搭住了三十年了。,我缩居宕住三十年爻罢。,我喺呢度住咗卅年喇。
62,470466,你告诉了我以后，我才知道这份文件有多重要。,侬告诉了我以后，我侪晓得搿份文件有得多少重要。,你伉我讲爻以后，我新晓得居份文件恁重要。,你话咗俾我听之后，我先知呢份文件有几咁紧要。
63,470479,我母亲那时比我还要年轻。,阿拉姆妈搿辰光比我还要年轻。,我阿妈许能届比我还年轻。,我阿妈嗰阵仲后生过我。
64,470875,我想和一个喜欢打电动的女孩结婚。,我想跟一个欢喜打电动个小姑娘结婚。,我想伉一个喜欢打电动个女个结婚。,我想同一个锺意打机嘅女仔结婚。
65,470918,可以再给我一点咖啡吗？,可以再拨我一点咖啡伐？,可以再匄我一厘咖啡啊伐？,可唔可以再俾啲咖啡我呀？
66,471388,这房间太小了，容纳不下五十人。,搿房间太小了，装勿牢五十个人。,居房间忒小爻， 坐否入五十人。,呢间房细得济喇，装唔落五十个人。
67,471454,中国是亚洲最大的国家。,中国是亚洲最大个国家。,中国是亚洲最大个个国。,中国系亚洲最大嘅国家。
68,471465,不用怕，他不会伤害你的。,勿用怕，伊勿会伤害侬个。,覅吓， 渠不会害你个。,唔使惊，佢唔会伤害你嘅。
69,471476,她在学校参加了很多活动。,伊垃海学堂参加了交关活动。,渠缩学堂里参加爻多显多个活动。,佢喺学校参加咗好多活动。
70,471512,我星期天下午三时会来看你。,我礼拜天下半天三点钟会来看侬。,我星期日后半日三点会走来眙你。,我星期日晏昼三点会嚟探你。
71,471520,你收拾好东西了没有？,侬收作好物事了伐？,你物事理好罢啊未？,你执好晒啲嘢未呀？
72,472130,看！她来了！,喏！伊来了！,眙！渠走来罢！,睇吓！佢嚟咗喇！
73,472574,他帮我把手表修理好了。,伊帮我拿手表修理好了。,渠帮我逮手表修好罢。,佢帮我整好咗只表。
74,472597,这里要小心扒手。,搿搭要当心扒手。,居宕着留心贼。,呢度要因住俾人挞嘢。
75,472599,这桌子和我们家的一样大。,搿台子跟阿拉屋里向个一样大。,居张桌伉卬你屋宕个一色大。,呢张枱同我哋屋企嗰张一样大。
76,472603,请你把你的名字和电话号码告诉我。,请侬拿侬个名字跟电话号头告诉我。,请你逮你个名字伉电话号码伉我讲。,唔该你话你个名同电话号码俾我听吖。
77,472926,老实说，我其实想留在家中，不想出外的。,老实讲，我其实想留拉屋里向，勿想出来个。,讲老实话，我其实想留屋里个， 否想走出。,老实讲，我其实想留喺屋企，唔想出街㗎。
78,474088,我们可以继续玩，别吵到别人就行了。,阿拉可以继续白相，勿要吵到别人就可以了。,卬你可以接下嬉，覅吵着别人就用着。,我哋可以继续玩，唔好嘈到人就得喇。
79,475390,那是什么声音？,哀个是啥声音？,许个何乜声音啊？,咩声嚟？
80,475398,你应该去看牙医，把牙拔掉。,侬应该去看牙医，拿牙拔脱。,你应该走眙牙医，逮牙拔爻。,你应该去睇牙医，掹咗只牙佢。
81,478154,请你告诉我机场怎么去。,请侬告诉我机场哪能去。,请你伉我讲一讲机场訾那走。,唔该你话我听机场点去吖。
82,479092,这房子里面有多少只猫？,搿房子里向有多少只猫？,居个屋里有几厘只猫儿？,呢间屋入面有几多只猫呀？
83,479646,别忘了把书还给图书馆。,勿要忘记脱拿书还拨图书馆。,覅悗记爻逮书匄图书馆里还。,唔好唔记得还返本书俾图书馆喎。
84,480810,那本笔记本是谁的？,箇本簿子是啥人个？,许本笔记本是何乜人个啊？,嗰本簿系边个㗎？
85,480913,别边吃东西边说话！,勿要边吃物事边讲言话。,覅边吃物事边讲话！,唔好一路食嘢一路讲嘢！
86,481457,他很少写信给他的父母。,伊老少写信拨伊个爷娘。,渠很少匄渠爸妈写信。,佢好少写信俾佢阿爸阿妈。
87,481459,我的书在哪里？,我个书垃海阿里搭？,我个书是狃宕啊？,我本书喺边?
88,481469,你说得太快了，我听不懂。你可以说慢一点吗？,侬讲了忒快了，我听勿懂。侬可以讲慢一眼伐？,你讲忒快爻，我听否懂。你可以讲慢一厘伐？,你讲得太快喇，我听唔明。你可唔可以讲慢少少呀？
89,482402,你相信也好，不相信也好，对我来说没有什么分别。,侬相信也好，勿相信也好，对我来讲呒没啥分别。,你相信也好，否相信也好，对我冇何乜区别。,你信又好，唔信又好，对我嚟讲无咩分别。
90,483725,我做梦也没有想过会在这里碰到你。,我做梦也呒没想到会得垃搿耷踫着侬个。,我做梦也想否到会缩居宕碰着你。,我发梦都无谂过会喺呢度撞到你。
91,484142,我年轻的时候常常去打棒球。,我年轻个辰光常常去打棒球。,我年轻能届清清能走去打棒球。,我后生嗰阵成日去打棒球。
92,484168,开摩托车不戴头盔是很危险的。,开摩托车勿戴头盔是老危险个。,开摩托车否戴头盔危险显危险。,揸电单车唔戴头盔好危险㗎。
93,484171,我想在爸爸妈妈回来之前把房子打扫干净。,我想垃海爸爸妈妈回来之前拿房子打扫干净。,我想爸妈走来之前逮屋里打扫光生。,我想喺阿爸阿妈返嚟之前执干净间屋。
94,485865,有些苹果从树上掉了下来。,有眼苹果从书高头落了下来。,有厘苹果缩树上遁落爻罢。,有啲苹果喺棵树度跌咗落嚟。
95,487473,我们把门涂成了绿色。,阿拉挪门涂成了绿颜色。,卬你逮门涂成绿个爻。,我哋将道门油咗做绿色。
96,489545,如果不下雨的话，你可以去踏单车。,如果勿落雨个言话，侬可以去踏脚踏车。,当当能否落雨，你可以踏踏脚车走去。,如果唔落雨嘅话，你可以去踩单车。
97,492204,我想买点阿司匹林。,我想买眼阿司匹林。,我想买厘儿阿司匹林。,我想买啲阿士匹灵。
98,577483,你看你，吃得满嘴都是了。,侬看看侬，吃得来整个嘴巴侪是个了。,你眙你，吃起满嘴上沃是。,你睇吓你，食到成个口都系喇。
99,618169,你会说义大利语吗？,侬意大利文讲得来伐？,你会讲义大利话啊伐？,你识唔识讲意大利文㗎？
100,758625,有棵树倒了下来，把路堵住了。,有棵树倒下来了，拿条路砬断了。,有座树倒下，逮路塞爻罢。,有棵树冧咗落嚟，塞住咗条路。
101,759704,他把书撕烂了。,伊拿本书裁脱了。,渠逮书剫爻罢。,佢撕烂咗本书。
102,771690,"亲爱的, 上床吧。 ""不, 还不行。我在Tatoeba上还必须翻译一些句子。""",「老公，上床啦。」「勿来自啊，我还要拉垃 Tatoeba 浪翻翻几句句子哦。」,亲爱得，走床里呐。"未，还未呐。我缩Tatoeba上还有厘句子着翻译。,「老公，上床啦。」「未得住呀，我要喺 Tatoeba 翻译多几句句子先呀。」
103,772523,你会说英语吗？,侬英文讲得来伐？,你会讲英语啊伐？,你识唔识讲英文㗎？
104,780339,他是个好人。,伊是个好人。,渠是个好人。,佢系个好人。
105,798280,永远不要忘记关火。,永远勿要忘记关火。,永远覅悗记逮火关爻。,千祈唔好唔记得熄火。
106,819289,走开！,滚蛋！,走远哩！,死开！
107,833059,你开得太快了。,侬开了太快了。,你开忒快爻。,你揸得太快喇。
108,835393,我看电视看到厌烦了。,我看电视看了怨煞了。,我眙电视眙烦起爻罢。,我睇电视睇到厌喇。
109,839481,随时问任何问题都可以。,有问题就问好唻。,随便若能届问何乜问题沃可以。,有问题随便问。
110,842434,雪梨离这里很远。,悉尼离箇墶老远个。,悉尼伉居宕远显远。,雪梨离呢度好远㗎喎。
111,852184,我从来没有看过他穿牛仔裤。,我从来呒没看过伊穿牛仔裤。,我从来冇眙过渠着牛仔裤。,我冇见过佢着牛仔裤。
112,875092,京都有许多神社。,京都有老多个神社。,京都有多显多神社。,京都有好多神社。
113,875320,那时我不知道该怎么办。,我当辰光勿晓得该哪能办。,我许能届晓否得着訾那能妆。,我嗰阵时唔知点做先好。
114,884704,滚！,滚蛋！,□开哩！,躝开啦！
115,892515,她的母语是法语。,伊个母语是法国闲话。,渠个母语是法语。,佢嘅母语系法文。
116,895882,那个正在拉小提琴的男人是谁?,哀个垃海拉小提琴个男人是啥人？,恰是搭拉小提琴个许个男个是乜人啊？,拉紧小提琴嗰个人系边个嚟㗎？
117,907536,每个人都说我看起来像我爸爸。,人人侪讲我看上起像阿拉爸爸。,每个人沃讲我眙着伉我爸相像。,啲人个个都话我同我老豆好似样。
118,941085,我在浇花。,我垃海浇花。,我是得浇花。,我喺度帮紧啲花淋水。
119,1180720,安静！,静一点好伐！,静一厘！,静D啦！
120,1329350,我不是魔法师。,我勿是魔法师。,我否是魔法师。,我唔系魔术师。
121,1561711,我的书在哪？,我个书垃海阿里搭？,我个书是狃宕啊？,我本书喺边?
122,1667395,你到底怎么了啊？,侬哪恁勒啦？,你到底訾那爻？,搞咩呀你？
123,1688841,哪本书是您的？,阿里簿书是侬额？,若本书是你个？,边本书系你㗎？
124,1692270,不要玩钥匙。,钥匙孛相勿来个。,覅狡锁匙。,梦玩条锁匙啦。
125,1692330,这只老鼠是死还是活的？,只老鼠死个还活个？,居只老鼠是死个还是活个？,只老鼠生定死架？
126,1746541,再见！,再会。,再会！,拜拜！
127,1761553,你们好吗？,侬哪能？,你厘好啊伐？,你点呀？
128,3521512,你会说英文吗？,侬会得讲英文伐？,你会讲英语啊伐？,你识唔识讲英文㗎？
129,3594322,谢谢！,谢谢侬噢！,谢谢！,唔该。
130,5112348,我们学习汉语。,阿拉学习中国言话。,我厘学习汉语。,我哋学中文。
131,5115073,悉尼离这里很远。,悉尼离箇墶老远个。,悉尼伉居宕死人远。,雪梨离呢度好远㗎喎。
132,5115080,悉尼是澳大利亚最大的城市。,悉尼是澳大利亚最大个城市。,悉尼是澳大利亚最大个城市。,悉尼系澳洲最大嘅城市
133,5339173,世界上有超过八十万的巴斯克语使用者。,世界哴向有超过八十万个人讲巴斯克言话。,世界上有超过八十万个人用巴斯克话。,世界上有超过八十万人讲巴斯克文。
134,5339199,世界上有超过八十万的人说巴斯克语。,世界哴向有超过八十万个人讲巴斯克言话。,世界上有超过八十万个人讲巴斯克话。,世界上有超过八十万人讲巴斯克文。
135,5500559,你们比我还高。,侬比我高。,你厘比我还高哩。,你高过我。
136,6559017,你好吗？,侬好伐？,你好啊伐？,你点呀？
137,10329955,你们怎么就是没相信我呢？,侬为啥勿相信我？,你厘訾那就冇相信我呢？,你点解唔信我呀？
138,10631557,他父母对他怀有过高的期望。,伊拉爷娘对伊期望过高。,渠个爸妈对渠期望忒高。,佢阿爸阿妈对佢期望过高。
139,5574664,别倚着墙。,覅隑了墙头浪。,覅靠墙上赖。,唔好挨埋埲墙度。
