,cmn,wen,LV distance score
0,我们试试看,卬你试试眙,0.6
1,那又怎样,那就訾那能爻,0.8333333333333334
2,不要说废话,覅讲废话,0.6
3,这个苹果很酸,居个苹果酸显酸,0.42857142857142855
4,别忘了明天六时来接我,覅悗记爻明朝六点钟走来接我,0.6153846153846154
5,我相信他是个聪明人,我相信渠是个聪明人,0.1111111111111111
6,什么时候出发最方便你,若能届走最方便啊你,0.7
7,我永远不会忘记你,我永远覅悗记你,0.375
8,我打算把这块手表送给你,我打算逮居个手表送匄你,0.36363636363636365
9,这些书是谁的,居厘书是何乜人个,0.75
10,这条规则不是什么时候都适用的,居条规定否是若能届沃可以用个,0.7142857142857143
11,天气每天都在变,天气每日沃是得变,0.5
12,你应该先和你的父母谈谈,你应该伉你爸妈谈一谈先,0.6363636363636364
13,参加的人并不多,参加个人否何乜多,0.5
14,我们的结论就是那个传言是真的,我厘个结论就是许个传言是真个,0.2857142857142857
15,汤姆回乡下了,汤姆走乡下转哦罢,0.5
16,这些古老习俗都是一代一代相传下来的,居厘老个习俗沃是一代一代传下个,0.47058823529411764
17,她穿什么都好看,渠着何乜沃好眙,0.8571428571428571
18,房子一间一间地着了火,屋宕一间一间能烧起,0.6
19,她昨天为什么不来,渠昨夜妆嚷冇走来,0.75
20,他的房间除了一张桌子就什么也没有了,渠个间里除爻一张桌就何乜沃冇,0.7058823529411765
21,过了三天我才知道原来她失踪了,过去三日我新晓得原来渠走狃宕爻罢,0.6875
22,你什么时候回来,你若能届走来,0.7142857142857143
23,你懂得用这台相机吗,你晓得用居台相机啊伐,0.4
24,我叫你怎么做你就怎么做,我叫你訾那做你就訾那做,0.36363636363636365
25,她很喜欢在电视上看网球比赛,渠很喜欢缩电视上眙网球比赛,0.23076923076923078
26,那幅画是印象派的大师级作品,许幅画是印象派个大师级作品,0.15384615384615385
27,位处赤道附近一个狭窄区域的热带雨林正在不断地遭受人类的破坏预计在二零零零年之前该区域将会有五分之四的热带雨林从地球上消失,位于赤道边埏一个狭个区域个热带雨林正是搭不停能遭受人类个破坏预计是二零零零年之前居区域会有五分之四个热带雨林缩地球上消失,0.25
28,你应该学习控制自己的情绪,你应该学起控制你己个脾气,0.4166666666666667
29,房子乱七八糟也没问题但是肮脏的话我接受不了,屋宕乱七八糟也冇问题但是鏖糟个话我□否落,0.47619047619047616
30,她什么事也依赖老公,渠何乜事干沃靠渠老公,0.7
31,坐在角落的那个男人是谁,坐居角落里个许个男个是何乜人啊,0.6
32,请你把故事从头到尾给我们说一遍,请你逮故事从头到尾匄卬你讲一遍,0.3333333333333333
33,你可以带我去吗,你可以带我走去伐,0.25
34,你一定要考虑清楚你想做怎么样的工作,你一定着考虑灵清你己想做狃能色个工作,0.4444444444444444
35,你放假打算去什么地方玩呢,你放假打算走狃宕嬉,0.5833333333333334
36,她把苹果切成了两半,渠逮苹果切成两对半,0.4444444444444444
37,这些树是他们种的,居厘树是渠厘种起个,0.6666666666666666
38,瑞士人大多能说三四种语言,瑞士人大部分会讲三四种话,0.5
39,这房间是禁止吸烟的,居个房间是禁止吃香烟个,0.45454545454545453
40,我一走路这里就很痛,我一走路居宕哩就会痛,0.4
41,她除了懂得弹钢琴还懂得弹吉他,渠除了会弹钢琴还会弹吉他,0.35714285714285715
42,她会弹钢琴吗,渠会弹钢琴啊伐,0.42857142857142855
43,我想他得花两个小时才能把工作做完,我想他着两个小时工作新会做好,0.5
44,我真想在 Tatoeba 写很多很多的句子不过我有别的事要做,我真想缩Tatoeba上写多显多个句子可惜我还有别样事个着做,0.4
45,我们还是让老师决定吧,卬你还是匄老师决定,0.4
46,圣诞节快到了生意也好了点,圣诞节快到罢 生意也好厘爻,0.3076923076923077
47,剪刀石头布,铰剪石头布,0.4
48,我要和你说再见了,我着伉你讲再见爻,0.5
49,对了我有一件事要告诉你,对爻我有件事个伉你讲,0.5454545454545454
50,这里附近的电话亭少得可怜,居宕边埏个电话亭少显少,0.6666666666666666
51,汤姆今天要留在家中吗,汤姆该日着缩屋里啊伐,0.8
52,你可以告诉我我错在哪儿吗,你可以伉我讲我狃宕赚爻罢,0.6666666666666666
53,电影好看吗,电影好眙伐,0.4
54,什么水果是红色的,何乜水果是红个,0.5
55,你是怎么认识她的,你是訾那认识渠个,0.5
56,他走路时常常把一只手插在裤袋里,渠走能届沃清清能逮一只手插裤兜里,0.625
57,天色开始暗了麻烦你帮我开灯,天开始暗爻罢麻烦你逮我灯开一开,0.4666666666666667
58,我们以前住的房子被拆毁了,卬你以早住个屋宕匄渠拆爻罢,0.7692307692307693
59,这间学校女孩比男孩多,居间学堂奶儿娒比男儿娒多厘,0.6153846153846154
60,他每天早上都会喝一杯水,渠每日天光沃会呷一杯水,0.5454545454545454
61,我在这里住了三十年了,我缩居宕住三十年爻罢,0.6
62,你告诉了我以后我才知道这份文件有多重要,你伉我讲爻以后我新晓得居份文件恁重要,0.5263157894736842
63,我母亲那时比我还要年轻,我阿妈许能届比我还年轻,0.5454545454545454
64,我想和一个喜欢打电动的女孩结婚,我想伉一个喜欢打电动个女个结婚,0.2
65,可以再给我一点咖啡吗,可以再匄我一厘咖啡啊伐,0.36363636363636365
66,这房间太小了容纳不下五十人,居房间忒小爻 坐否入五十人,0.5384615384615384
67,中国是亚洲最大的国家,中国是亚洲最大个个国,0.3
68,不用怕他不会伤害你的,覅吓 渠不会害你个,0.6
69,她在学校参加了很多活动,渠缩学堂里参加爻多显多个活动,0.5714285714285714
70,我星期天下午三时会来看你,我星期日后半日三点会走来眙你,0.5
71,你收拾好东西了没有,你物事理好罢啊未,0.8888888888888888
72,看她来了,眙渠走来罢,0.8
73,他帮我把手表修理好了,渠帮我逮手表修好罢,0.4
74,这里要小心扒手,居宕着留心贼,0.8571428571428571
75,这桌子和我们家的一样大,居张桌伉卬你屋宕个一色大,0.75
76,请你把你的名字和电话号码告诉我,请你逮你个名字伉电话号码伉我讲,0.4
77,老实说我其实想留在家中不想出外的,讲老实话我其实想留屋里个 否想走出,0.5882352941176471
78,我们可以继续玩别吵到别人就行了,卬你可以接下嬉覅吵着别人就用着,0.6
79,那是什么声音,许个何乜声音啊,0.7142857142857143
80,你应该去看牙医把牙拔掉,你应该走眙牙医逮牙拔爻,0.36363636363636365
81,请你告诉我机场怎么去,请你伉我讲一讲机场訾那走,0.6666666666666666
82,这房子里面有多少只猫,居个屋里有几厘只猫儿,0.7
83,别忘了把书还给图书馆,覅悗记爻逮书匄图书馆里还,0.75
84,那本笔记本是谁的,许本笔记本是何乜人个啊,0.5454545454545454
85,别边吃东西边说话,覅边吃物事边讲话,0.5
86,他很少写信给他的父母,渠很少匄渠爸妈写信,0.8
87,我的书在哪里,我个书是狃宕啊,0.7142857142857143
88,你说得太快了我听不懂你可以说慢一点吗,你讲忒快爻我听否懂你可以讲慢一厘伐,0.4444444444444444
89,你相信也好不相信也好对我来说没有什么分别,你相信也好否相信也好对我冇何乜区别,0.4
90,我做梦也没有想过会在这里碰到你,我做梦也想否到会缩居宕碰着你,0.5333333333333333
91,我年轻的时候常常去打棒球,我年轻能届清清能走去打棒球,0.46153846153846156
92,开摩托车不戴头盔是很危险的,开摩托车否戴头盔危险显危险,0.38461538461538464
93,我想在爸爸妈妈回来之前把房子打扫干净,我想爸妈走来之前逮屋里打扫光生,0.5
94,有些苹果从树上掉了下来,有厘苹果缩树上遁落爻罢,0.5454545454545454
95,我们把门涂成了绿色,卬你逮门涂成绿个爻,0.6666666666666666
96,如果不下雨的话你可以去踏单车,当当能否落雨你可以踏踏脚车走去,0.7333333333333333
97,我想买点阿司匹林,我想买厘儿阿司匹林,0.2222222222222222
98,你看你吃得满嘴都是了,你眙你吃起满嘴上沃是,0.5
99,你会说义大利语吗,你会讲义大利话啊伐,0.4444444444444444
100,有棵树倒了下来把路堵住了,有座树倒下逮路塞爻罢,0.5833333333333334
101,他把书撕烂了,渠逮书剫爻罢,0.8333333333333334
102,亲爱的 上床吧 不 还不行我在Tatoeba上还必须翻译一些句子,亲爱得走床里呐未还未呐我缩Tatoeba上还有厘句子着翻译,0.5625
103,你会说英语吗,你会讲英语啊伐,0.42857142857142855
104,他是个好人,渠是个好人,0.2
105,永远不要忘记关火,永远覅悗记逮火关爻,0.6666666666666666
106,走开,走远哩,0.6666666666666666
107,你开得太快了,你开忒快爻,0.5
108,我看电视看到厌烦了,我眙电视眙烦起爻罢,0.6666666666666666
109,随时问任何问题都可以,随便若能届问何乜问题沃可以,0.5384615384615384
110,雪梨离这里很远,悉尼伉居宕远显远,0.875
111,我从来没有看过他穿牛仔裤,我从来冇眙过渠着牛仔裤,0.4166666666666667
112,京都有许多神社,京都有多显多神社,0.25
113,那时我不知道该怎么办,我许能届晓否得着訾那能妆,1.0
114,滚,□开哩,1.0
115,她的母语是法语,渠个母语是法语,0.2857142857142857
116,那个正在拉小提琴的男人是谁,恰是搭拉小提琴个许个男个是乜人啊,0.6875
117,每个人都说我看起来像我爸爸,每个人沃讲我眙着伉我爸相像,0.6153846153846154
118,我在浇花,我是得浇花,0.4
119,安静,静一厘,1.0
120,我不是魔法师,我否是魔法师,0.16666666666666666
121,我的书在哪,我个书是狃宕啊,0.7142857142857143
122,你到底怎么了啊,你到底訾那爻,0.5714285714285714
123,哪本书是您的,若本书是你个,0.5
124,不要玩钥匙,覅狡锁匙,0.8
125,这只老鼠是死还是活的,居只老鼠是死个还是活个,0.2727272727272727
126,再见,再会,0.5
127,你们好吗,你厘好啊伐,0.6
128,你会说英文吗,你会讲英语啊伐,0.5714285714285714
129,谢谢,谢谢,0.0
130,我们学习汉语,我厘学习汉语,0.16666666666666666
131,悉尼离这里很远,悉尼伉居宕死人远,0.625
132,悉尼是澳大利亚最大的城市,悉尼是澳大利亚最大个城市,0.08333333333333333
133,世界上有超过八十万的巴斯克语使用者,世界上有超过八十万个人用巴斯克话,0.4117647058823529
134,世界上有超过八十万的人说巴斯克语,世界上有超过八十万个人讲巴斯克话,0.1875
135,你们比我还高,你厘比我还高哩,0.2857142857142857
136,你好吗,你好啊伐,0.5
137,你们怎么就是没相信我呢,你厘訾那就冇相信我呢,0.45454545454545453
138,他父母对他怀有过高的期望,渠个爸妈对渠期望忒高,0.9166666666666666
139,别倚着墙,覅靠墙上赖,1.0
