,cmn,wuu,LV distance score
0,我们试试看,阿拉试试,0.6
1,那又怎样,哏末哪能呢,1.0
2,不要说废话,侬勿要瞎讲,1.0
3,这个苹果很酸,搿只苹果老酸个,0.5714285714285714
4,别忘了明天六时来接我,勿要忘记脱明朝6点钟来寻我,0.6923076923076923
5,我相信他是个聪明人,我相信伊是个聪明人,0.1111111111111111
6,什么时候出发最方便你,啥辰光出发最方便侬,0.5
7,我永远不会忘记你,我永远勿会得忘记脱侬,0.4
8,我打算把这块手表送给你,我打算拿搿只手表送拨侬,0.45454545454545453
9,这些书是谁的,搿眼是啥人个书,1.0
10,这条规则不是什么时候都适用的,搿条规则勿是啥个辰光侪适用个,0.5714285714285714
11,天气每天都在变,天气每日天侪垃海变,0.4444444444444444
12,你应该先和你的父母谈谈,侬应该跟㑚爷娘谈清爽先,0.8181818181818182
13,参加的人并不多,呒没多少人垃海,1.0
14,我们的结论就是那个传言是真的,阿拉个结论就是诶额传言是真个,0.42857142857142855
15,汤姆回乡下了,汤姆回到乡下头了,0.25
16,这些古老习俗都是一代一代相传下来的,搿眼古老个习俗侪是一代一代传统传下来个,0.3684210526315789
17,她穿什么都好看,伊穿啥侪好看,0.5714285714285714
18,房子一间一间地着了火,房子一家家着起火来,0.6
19,她昨天为什么不来,伊昨日啥个道理勿来,0.7777777777777778
20,他的房间除了一张桌子就什么也没有了,伊个房间除脱张桌凳别样物事侪呒没,0.7058823529411765
21,过了三天我才知道原来她失踪了,过了三天我侪晓得原来伊失踪了,0.2857142857142857
22,你什么时候回来,侬啥个辰光回来,0.7142857142857143
23,你懂得用这台相机吗,侬懂勿懂用搿部照相机伐,0.6363636363636364
24,我叫你怎么做你就怎么做,按照我跟侬讲个搿能做,0.9090909090909091
25,她很喜欢在电视上看网球比赛,伊老欢喜垃电视浪向看网球比赛个,0.5333333333333333
26,那幅画是印象派的大师级作品,哀幅画是印象派个大师级作,0.23076923076923078
27,位处赤道附近一个狭窄区域的热带雨林正在不断地遭受人类的破坏预计在二零零零年之前该区域将会有五分之四的热带雨林从地球上消失,拉垃赤道附近一个邪气笑个区域个热带雨林勿停个受到人类个破坏预计拉垃两零零零年之前搿个区域个五分之四个热带雨林将会得从地球浪消失,0.4444444444444444
28,你应该学习控制自己的情绪,侬应该学会控制自家个情绪,0.3333333333333333
29,房子乱七八糟也没问题但是肮脏的话我接受不了,屋里向乱七八糟也呒没问题个但龌龊个闲话我是勿能够接受个,0.5555555555555556
30,她什么事也依赖老公,伊像啥事体侪依靠老公个,0.6363636363636364
31,坐在角落的那个男人是谁,坐了角落里个哀个男人是啥人,0.46153846153846156
32,请你把故事从头到尾给我们说一遍,谢谢侬拿搿个故事从头到底讲拨阿拉听,0.7647058823529411
33,你可以带我去吗,侬可以带我去伐,0.2857142857142857
34,你一定要考虑清楚你想做怎么样的工作,侬一定要考虑清爽侬想做哪能样个工作,0.35294117647058826
35,你放假打算去什么地方玩呢,侬放假打算到啊里耷去白相呢,0.6153846153846154
36,她把苹果切成了两半,伊拿苹果一劈两,0.6666666666666666
37,这些树是他们种的,搿些树是伊拉种个,0.5
38,瑞士人大多能说三四种语言,瑞士人大多数会得讲三四种语言,0.2857142857142857
39,这房间是禁止吸烟的,搿房间是禁止吃香烟个,0.4
40,我一走路这里就很痛,我一走路搿搭就老痛个,0.4
41,她除了懂得弹钢琴还懂得弹吉他,伊除脱懂得弹钢琴还懂得弹吉他,0.14285714285714285
42,她会弹钢琴吗,伊会得弹钢琴伐,0.42857142857142855
43,我想他得花两个小时才能把工作做完,我想伊要花两个钟头才好挪工作做光,0.4375
44,我真想在 Tatoeba 写很多很多的句子不过我有别的事要做,我老想拉垃 Tatoeba 浪写交关交关句子但是我有别个事体要做,0.40625
45,我们还是让老师决定吧,阿拉还是等老师决定伐,0.4
46,圣诞节快到了生意也好了点,圣诞节到快生意也好点,0.25
47,剪刀石头布,榔头剪刀纸头,0.6666666666666666
48,我要和你说再见了,我要帮侬讲再会了,0.5
49,对了我有一件事要告诉你,对个我有桩事体要跟侬讲,0.6363636363636364
50,这里附近的电话亭少得可怜,搿搭附近个电话亭少了可怜,0.3333333333333333
51,汤姆今天要留在家中吗,汤姆今朝要留拉屋里向伐,0.5454545454545454
52,你可以告诉我我错在哪儿吗,侬可以告诉我我错拉阿里搭伐,0.46153846153846156
53,电影好看吗,电影好看伐,0.2
54,什么水果是红色的,啥个水果是红颜色个,0.4444444444444444
55,你是怎么认识她的,侬是哪能认得伊个,0.75
56,他走路时常常把一只手插在裤袋里,伊走路个辰光常常拿一只手插拉裤袋里,0.35294117647058826
57,天色开始暗了麻烦你帮我开灯,天色开始暗了麻烦侬帮我开灯,0.07692307692307693
58,我们以前住的房子被拆毁了,阿拉以前住个房子被拆脱了,0.3333333333333333
59,这间学校女孩比男孩多,搿间学堂女小人比男小人多,0.5
60,他每天早上都会喝一杯水,伊每天早浪向侪会喝一杯水,0.3333333333333333
61,我在这里住了三十年了,我垃海搿搭住了三十年了,0.36363636363636365
62,你告诉了我以后我才知道这份文件有多重要,侬告诉了我以后我侪晓得搿份文件有得多少重要,0.3333333333333333
63,我母亲那时比我还要年轻,阿拉姆妈搿辰光比我还要年轻,0.5384615384615384
64,我想和一个喜欢打电动的女孩结婚,我想跟一个欢喜打电动个小姑娘结婚,0.4375
65,可以再给我一点咖啡吗,可以再拨我一点咖啡伐,0.2
66,这房间太小了容纳不下五十人,搿房间太小了装勿牢五十个人,0.46153846153846156
67,中国是亚洲最大的国家,中国是亚洲最大个国家,0.1
68,不用怕他不会伤害你的,勿用怕伊勿会伤害侬个,0.5
69,她在学校参加了很多活动,伊垃海学堂参加了交关活动,0.5
70,我星期天下午三时会来看你,我礼拜天下半天三点钟会来看侬,0.5
71,你收拾好东西了没有,侬收作好物事了伐,0.6666666666666666
72,看她来了,喏伊来了,0.5
73,他帮我把手表修理好了,伊帮我拿手表修理好了,0.2
74,这里要小心扒手,搿搭要当心扒手,0.42857142857142855
75,这桌子和我们家的一样大,搿台子跟阿拉屋里向个一样大,0.6923076923076923
76,请你把你的名字和电话号码告诉我,请侬拿侬个名字跟电话号头告诉我,0.4
77,老实说我其实想留在家中不想出外的,老实讲我其实想留拉屋里向勿想出来个,0.47058823529411764
78,我们可以继续玩别吵到别人就行了,阿拉可以继续白相勿要吵到别人就可以了,0.4444444444444444
79,那是什么声音,哀个是啥声音,0.6666666666666666
80,你应该去看牙医把牙拔掉,侬应该去看牙医拿牙拔脱,0.2727272727272727
81,请你告诉我机场怎么去,请侬告诉我机场哪能去,0.3
82,这房子里面有多少只猫,搿房子里向有多少只猫,0.2
83,别忘了把书还给图书馆,勿要忘记脱拿书还拨图书馆,0.5
84,那本笔记本是谁的,箇本簿子是啥人个,0.875
85,别边吃东西边说话,勿要边吃物事边讲言话,0.6
86,他很少写信给他的父母,伊老少写信拨伊个爷娘,0.7
87,我的书在哪里,我个书垃海阿里搭,0.625
88,你说得太快了我听不懂你可以说慢一点吗,侬讲了忒快了我听勿懂侬可以讲慢一眼伐,0.5
89,你相信也好不相信也好对我来说没有什么分别,侬相信也好勿相信也好对我来讲呒没啥分别,0.35
90,我做梦也没有想过会在这里碰到你,我做梦也呒没想到会得垃搿耷踫着侬个,0.6470588235294118
91,我年轻的时候常常去打棒球,我年轻个辰光常常去打棒球,0.25
92,开摩托车不戴头盔是很危险的,开摩托车勿戴头盔是老危险个,0.23076923076923078
93,我想在爸爸妈妈回来之前把房子打扫干净,我想垃海爸爸妈妈回来之前拿房子打扫干净,0.15789473684210525
94,有些苹果从树上掉了下来,有眼苹果从书高头落了下来,0.4166666666666667
95,我们把门涂成了绿色,阿拉挪门涂成了绿颜色,0.4
96,如果不下雨的话你可以去踏单车,如果勿落雨个言话侬可以去踏脚踏车,0.4375
97,我想买点阿司匹林,我想买眼阿司匹林,0.125
98,你看你吃得满嘴都是了,侬看看侬吃得来整个嘴巴侪是个了,0.6
99,你会说义大利语吗,侬意大利文讲得来伐,1.0
100,有棵树倒了下来把路堵住了,有棵树倒下来了拿条路砬断了,0.46153846153846156
101,他把书撕烂了,伊拿本书裁脱了,0.7142857142857143
102,亲爱的 上床吧 不 还不行我在Tatoeba上还必须翻译一些句子,老公上床啦勿来自啊我还要拉垃 Tatoeba 浪翻翻几句句子哦,0.6875
103,你会说英语吗,侬英文讲得来伐,1.0
104,他是个好人,伊是个好人,0.2
105,永远不要忘记关火,永远勿要忘记关火,0.125
106,走开,滚蛋,1.0
107,你开得太快了,侬开了太快了,0.3333333333333333
108,我看电视看到厌烦了,我看电视看了怨煞了,0.3333333333333333
109,随时问任何问题都可以,有问题就问好唻,0.8
110,雪梨离这里很远,悉尼离箇墶老远个,0.75
111,我从来没有看过他穿牛仔裤,我从来呒没看过伊穿牛仔裤,0.25
112,京都有许多神社,京都有老多个神社,0.25
113,那时我不知道该怎么办,我当辰光勿晓得该哪能办,0.8181818181818182
114,滚,滚蛋,0.5
115,她的母语是法语,伊个母语是法国闲话,0.5555555555555556
116,那个正在拉小提琴的男人是谁,哀个垃海拉小提琴个男人是啥人,0.42857142857142855
117,每个人都说我看起来像我爸爸,人人侪讲我看上起像阿拉爸爸,0.6153846153846154
118,我在浇花,我垃海浇花,0.4
119,安静,静一点好伐,1.0
120,我不是魔法师,我勿是魔法师,0.16666666666666666
121,我的书在哪,我个书垃海阿里搭,0.75
122,你到底怎么了啊,侬哪恁勒啦,1.0
123,哪本书是您的,阿里簿书是侬额,0.7142857142857143
124,不要玩钥匙,钥匙孛相勿来个,1.0
125,这只老鼠是死还是活的,只老鼠死个还活个,0.5
126,再见,再会,0.5
127,你们好吗,侬哪能,1.0
128,你会说英文吗,侬会得讲英文伐,0.5714285714285714
129,谢谢,谢谢侬噢,0.5
130,我们学习汉语,阿拉学习中国言话,0.75
131,悉尼离这里很远,悉尼离箇墶老远个,0.5
132,悉尼是澳大利亚最大的城市,悉尼是澳大利亚最大个城市,0.08333333333333333
133,世界上有超过八十万的巴斯克语使用者,世界哴向有超过八十万个人讲巴斯克言话,0.5
134,世界上有超过八十万的人说巴斯克语,世界哴向有超过八十万个人讲巴斯克言话,0.3333333333333333
135,你们比我还高,侬比我高,0.5
136,你好吗,侬好伐,0.6666666666666666
137,你们怎么就是没相信我呢,侬为啥勿相信我,0.7272727272727273
138,他父母对他怀有过高的期望,伊拉爷娘对伊期望过高,0.8333333333333334
139,别倚着墙,覅隑了墙头浪,0.8333333333333334
