,wuu,wen,LV distance score
0,阿拉试试,卬你试试眙,0.6
1,哏末哪能呢,那就訾那能爻,0.8333333333333334
2,侬勿要瞎讲,覅讲废话,1.0
3,搿只苹果老酸个,居个苹果酸显酸,0.7142857142857143
4,勿要忘记脱明朝6点钟来寻我,覅悗记爻明朝六点钟走来接我,0.5384615384615384
5,我相信伊是个聪明人,我相信渠是个聪明人,0.1111111111111111
6,啥辰光出发最方便侬,若能届走最方便啊你,0.7777777777777778
7,我永远勿会得忘记脱侬,我永远覅悗记你,0.6
8,我打算拿搿只手表送拨侬,我打算逮居个手表送匄你,0.45454545454545453
9,搿眼是啥人个书,居厘书是何乜人个,0.75
10,搿条规则勿是啥个辰光侪适用个,居条规定否是若能届沃可以用个,0.6428571428571429
11,天气每日天侪垃海变,天气每日沃是得变,0.4444444444444444
12,侬应该跟㑚爷娘谈清爽先,你应该伉你爸妈谈一谈先,0.6363636363636364
13,呒没多少人垃海,参加个人否何乜多,1.0
14,阿拉个结论就是诶额传言是真个,我厘个结论就是许个传言是真个,0.2857142857142857
15,汤姆回到乡下头了,汤姆走乡下转哦罢,0.625
16,搿眼古老个习俗侪是一代一代传统传下来个,居厘老个习俗沃是一代一代传下个,0.3684210526315789
17,伊穿啥侪好看,渠着何乜沃好眙,0.8571428571428571
18,房子一家家着起火来,屋宕一间一间能烧起,0.8888888888888888
19,伊昨日啥个道理勿来,渠昨夜妆嚷冇走来,0.7777777777777778
20,伊个房间除脱张桌凳别样物事侪呒没,渠个间里除爻一张桌就何乜沃冇,0.8125
21,过了三天我侪晓得原来伊失踪了,过去三日我新晓得原来渠走狃宕爻罢,0.5625
22,侬啥个辰光回来,你若能届走来,0.8571428571428571
23,侬懂勿懂用搿部照相机伐,你晓得用居台相机啊伐,0.7272727272727273
24,按照我跟侬讲个搿能做,我叫你訾那做你就訾那做,0.9090909090909091
25,伊老欢喜垃电视浪向看网球比赛个,渠很喜欢缩电视上眙网球比赛,0.6
26,哀幅画是印象派个大师级作,许幅画是印象派个大师级作品,0.15384615384615385
27,拉垃赤道附近一个邪气笑个区域个热带雨林勿停个受到人类个破坏预计拉垃两零零零年之前搿个区域个五分之四个热带雨林将会得从地球浪消失,位于赤道边埏一个狭个区域个热带雨林正是搭不停能遭受人类个破坏预计是二零零零年之前居区域会有五分之四个热带雨林缩地球上消失,0.4126984126984127
28,侬应该学会控制自家个情绪,你应该学起控制你己个脾气,0.5
29,屋里向乱七八糟也呒没问题个但龌龊个闲话我是勿能够接受个,屋宕乱七八糟也冇问题但是鏖糟个话我□否落,0.5925925925925926
30,伊像啥事体侪依靠老公个,渠何乜事干沃靠渠老公,0.7272727272727273
31,坐了角落里个哀个男人是啥人,坐居角落里个许个男个是何乜人啊,0.4
32,谢谢侬拿搿个故事从头到底讲拨阿拉听,请你逮故事从头到尾匄卬你讲一遍,0.7647058823529411
33,侬可以带我去伐,你可以带我走去伐,0.25
34,侬一定要考虑清爽侬想做哪能样个工作,你一定着考虑灵清你己想做狃能色个工作,0.3888888888888889
35,侬放假打算到啊里耷去白相呢,你放假打算走狃宕嬉,0.6923076923076923
36,伊拿苹果一劈两,渠逮苹果切成两对半,0.6666666666666666
37,搿些树是伊拉种个,居厘树是渠厘种起个,0.5555555555555556
38,瑞士人大多数会得讲三四种语言,瑞士人大部分会讲三四种话,0.35714285714285715
39,搿房间是禁止吃香烟个,居个房间是禁止吃香烟个,0.18181818181818182
40,我一走路搿搭就老痛个,我一走路居宕哩就会痛,0.5
41,伊除脱懂得弹钢琴还懂得弹吉他,渠除了会弹钢琴还会弹吉他,0.42857142857142855
42,伊会得弹钢琴伐,渠会弹钢琴啊伐,0.42857142857142855
43,我想伊要花两个钟头才好挪工作做光,我想他着两个小时工作新会做好,0.6875
44,我老想拉垃 Tatoeba 浪写交关交关句子但是我有别个事体要做,我真想缩Tatoeba上写多显多个句子可惜我还有别样事个着做,0.5
45,阿拉还是等老师决定伐,卬你还是匄老师决定,0.4
46,圣诞节到快生意也好点,圣诞节快到罢 生意也好厘爻,0.38461538461538464
47,榔头剪刀纸头,铰剪石头布,0.8333333333333334
48,我要帮侬讲再会了,我着伉你讲再见爻,0.625
49,对个我有桩事体要跟侬讲,对爻我有件事个伉你讲,0.5454545454545454
50,搿搭附近个电话亭少了可怜,居宕边埏个电话亭少显少,0.5833333333333334
51,汤姆今朝要留拉屋里向伐,汤姆该日着缩屋里啊伐,0.5454545454545454
52,侬可以告诉我我错拉阿里搭伐,你可以伉我讲我狃宕赚爻罢,0.7692307692307693
53,电影好看伐,电影好眙伐,0.2
54,啥个水果是红颜色个,何乜水果是红个,0.4444444444444444
55,侬是哪能认得伊个,你是訾那认识渠个,0.625
56,伊走路个辰光常常拿一只手插拉裤袋里,渠走能届沃清清能逮一只手插裤兜里,0.5882352941176471
57,天色开始暗了麻烦侬帮我开灯,天开始暗爻罢麻烦你逮我灯开一开,0.5333333333333333
58,阿拉以前住个房子被拆脱了,卬你以早住个屋宕匄渠拆爻罢,0.6923076923076923
59,搿间学堂女小人比男小人多,居间学堂奶儿娒比男儿娒多厘,0.5384615384615384
60,伊每天早浪向侪会喝一杯水,渠每日天光沃会呷一杯水,0.5833333333333334
61,我垃海搿搭住了三十年了,我缩居宕住三十年爻罢,0.6363636363636364
62,侬告诉了我以后我侪晓得搿份文件有得多少重要,你伉我讲爻以后我新晓得居份文件恁重要,0.5238095238095238
63,阿拉姆妈搿辰光比我还要年轻,我阿妈许能届比我还年轻,0.5384615384615384
64,我想跟一个欢喜打电动个小姑娘结婚,我想伉一个喜欢打电动个女个结婚,0.375
65,可以再拨我一点咖啡伐,可以再匄我一厘咖啡啊伐,0.2727272727272727
66,搿房间太小了装勿牢五十个人,居房间忒小爻 坐否入五十人,0.6153846153846154
67,中国是亚洲最大个国家,中国是亚洲最大个个国,0.2
68,勿用怕伊勿会伤害侬个,覅吓 渠不会害你个,0.7
69,伊垃海学堂参加了交关活动,渠缩学堂里参加爻多显多个活动,0.6428571428571429
70,我礼拜天下半天三点钟会来看侬,我星期日后半日三点会走来眙你,0.6428571428571429
71,侬收作好物事了伐,你物事理好罢啊未,1.0
72,喏伊来了,眙渠走来罢,0.8
73,伊帮我拿手表修理好了,渠帮我逮手表修好罢,0.4
74,搿搭要当心扒手,居宕着留心贼,0.8571428571428571
75,搿台子跟阿拉屋里向个一样大,居张桌伉卬你屋宕个一色大,0.6923076923076923
76,请侬拿侬个名字跟电话号头告诉我,请你逮你个名字伉电话号码伉我讲,0.5333333333333333
77,老实讲我其实想留拉屋里向勿想出来个,讲老实话我其实想留屋里个 否想走出,0.5294117647058824
78,阿拉可以继续白相勿要吵到别人就可以了,卬你可以接下嬉覅吵着别人就用着,0.6666666666666666
79,哀个是啥声音,许个何乜声音啊,0.5714285714285714
80,侬应该去看牙医拿牙拔脱,你应该走眙牙医逮牙拔爻,0.45454545454545453
81,请侬告诉我机场哪能去,请你伉我讲一讲机场訾那走,0.75
82,搿房子里向有多少只猫,居个屋里有几厘只猫儿,0.7
83,勿要忘记脱拿书还拨图书馆,覅悗记爻逮书匄图书馆里还,0.75
84,箇本簿子是啥人个,许本笔记本是何乜人个啊,0.6363636363636364
85,勿要边吃物事边讲言话,覅边吃物事边讲话,0.3
86,伊老少写信拨伊个爷娘,渠很少匄渠爸妈写信,0.9
87,我个书垃海阿里搭,我个书是狃宕啊,0.625
88,侬讲了忒快了我听勿懂侬可以讲慢一眼伐,你讲忒快爻我听否懂你可以讲慢一厘伐,0.3333333333333333
89,侬相信也好勿相信也好对我来讲呒没啥分别,你相信也好否相信也好对我冇何乜区别,0.42105263157894735
90,我做梦也呒没想到会得垃搿耷踫着侬个,我做梦也想否到会缩居宕碰着你,0.5882352941176471
91,我年轻个辰光常常去打棒球,我年轻能届清清能走去打棒球,0.46153846153846156
92,开摩托车勿戴头盔是老危险个,开摩托车否戴头盔危险显危险,0.38461538461538464
93,我想垃海爸爸妈妈回来之前拿房子打扫干净,我想爸妈走来之前逮屋里打扫光生,0.5263157894736842
94,有眼苹果从书高头落了下来,有厘苹果缩树上遁落爻罢,0.6666666666666666
95,阿拉挪门涂成了绿颜色,卬你逮门涂成绿个爻,0.6
96,如果勿落雨个言话侬可以去踏脚踏车,当当能否落雨你可以踏踏脚车走去,0.75
97,我想买眼阿司匹林,我想买厘儿阿司匹林,0.2222222222222222
98,侬看看侬吃得来整个嘴巴侪是个了,你眙你吃起满嘴上沃是,0.8
99,侬意大利文讲得来伐,你会讲义大利话啊伐,0.8888888888888888
100,有棵树倒下来了拿条路砬断了,有座树倒下逮路塞爻罢,0.6153846153846154
101,伊拿本书裁脱了,渠逮书剫爻罢,0.8571428571428571
102,老公上床啦勿来自啊我还要拉垃 Tatoeba 浪翻翻几句句子哦,亲爱得走床里呐未还未呐我缩Tatoeba上还有厘句子着翻译,0.7419354838709677
103,侬英文讲得来伐,你会讲英语啊伐,0.8571428571428571
104,伊是个好人,渠是个好人,0.2
105,永远勿要忘记关火,永远覅悗记逮火关爻,0.6666666666666666
106,滚蛋,走远哩,1.0
107,侬开了太快了,你开忒快爻,0.6666666666666666
108,我看电视看了怨煞了,我眙电视眙烦起爻罢,0.6666666666666666
109,有问题就问好唻,随便若能届问何乜问题沃可以,0.8461538461538461
110,悉尼离箇墶老远个,悉尼伉居宕远显远,0.75
111,我从来呒没看过伊穿牛仔裤,我从来冇眙过渠着牛仔裤,0.4166666666666667
112,京都有老多个神社,京都有多显多神社,0.375
113,我当辰光勿晓得该哪能办,我许能届晓否得着訾那能妆,0.75
114,滚蛋,□开哩,1.0
115,伊个母语是法国闲话,渠个母语是法语,0.4444444444444444
116,哀个垃海拉小提琴个男人是啥人,恰是搭拉小提琴个许个男个是乜人啊,0.5625
117,人人侪讲我看上起像阿拉爸爸,每个人沃讲我眙着伉我爸相像,0.8461538461538461
118,我垃海浇花,我是得浇花,0.4
119,静一点好伐,静一厘,0.6
120,我勿是魔法师,我否是魔法师,0.16666666666666666
121,我个书垃海阿里搭,我个书是狃宕啊,0.625
122,侬哪恁勒啦,你到底訾那爻,1.0
123,阿里簿书是侬额,若本书是你个,0.7142857142857143
124,钥匙孛相勿来个,覅狡锁匙,1.0
125,只老鼠死个还活个,居只老鼠是死个还是活个,0.2727272727272727
126,再会,再会,0.0
127,侬哪能,你厘好啊伐,1.0
128,侬会得讲英文伐,你会讲英语啊伐,0.5714285714285714
129,谢谢侬噢,谢谢,0.5
130,阿拉学习中国言话,我厘学习汉语,0.75
131,悉尼离箇墶老远个,悉尼伉居宕死人远,0.75
132,悉尼是澳大利亚最大个城市,悉尼是澳大利亚最大个城市,0.0
133,世界哴向有超过八十万个人讲巴斯克言话,世界上有超过八十万个人用巴斯克话,0.2222222222222222
134,世界哴向有超过八十万个人讲巴斯克言话,世界上有超过八十万个人讲巴斯克话,0.16666666666666666
135,侬比我高,你厘比我还高哩,0.5714285714285714
136,侬好伐,你好啊伐,0.5
137,侬为啥勿相信我,你厘訾那就冇相信我呢,0.7
138,伊拉爷娘对伊期望过高,渠个爸妈对渠期望忒高,0.6
139,覅隑了墙头浪,覅靠墙上赖,0.6666666666666666
