,wuu,yue,LV distance score
0,阿拉试试,我哋试吓吖,0.8
1,哏末哪能呢,嗯咁呢,0.8
2,侬勿要瞎讲,唔好喺度乱噏廿四,1.0
3,搿只苹果老酸个,呢粒苹果好酸,0.5714285714285714
4,勿要忘记脱明朝6点钟来寻我,唔好唔记得听日六点嚟搵我喎,0.8461538461538461
5,我相信伊是个聪明人,我谂佢系聪明人嚟嘅,0.7777777777777778
6,啥辰光出发最方便侬,几时出发最方便你,0.4444444444444444
7,我永远勿会得忘记脱侬,我永远都唔会忘记你,0.5
8,我打算拿搿只手表送拨侬,我谂住送呢只表俾你,0.7272727272727273
9,搿眼是啥人个书,啲书边个㗎,0.8571428571428571
10,搿条规则勿是啥个辰光侪适用个,呢条规则唔系几时都啱用㗎,0.7142857142857143
11,天气每日天侪垃海变,天气每日都喺度变紧,0.5555555555555556
12,侬应该跟㑚爷娘谈清爽先,你应该同你阿爸阿妈倾吓先,0.75
13,呒没多少人垃海,唔系好多人有嚟,0.8571428571428571
14,阿拉个结论就是诶额传言是真个,我哋嘅结论就系个传言系真嘅,0.5714285714285714
15,汤姆回到乡下头了,阿 Tom 返咗乡下,1.0
16,搿眼古老个习俗侪是一代一代传统传下来个,呢啲古老嘅习俗都系一代一代噉传落嚟嘅,0.5263157894736842
17,伊穿啥侪好看,佢着咩都咁靓,1.0
18,房子一家家着起火来,啲屋一间一间噉着咗火,0.8
19,伊昨日啥个道理勿来,佢寻日做咩唔嚟嘅,0.8888888888888888
20,伊个房间除脱张桌凳别样物事侪呒没,佢间房除咗张枱就咩都无喇,0.8125
21,过了三天我侪晓得原来伊失踪了,过咗三日我先知原来佢失咗踪,0.5714285714285714
22,侬啥个辰光回来,你几时返嚟呀,1.0
23,侬懂勿懂用搿部照相机伐,你识唔识用呢部相机呀,0.6363636363636364
24,按照我跟侬讲个搿能做,我叫你点做你就点做,0.9
25,伊老欢喜垃电视浪向看网球比赛个,佢好锺意喺电视度睇网球比赛,0.6
26,哀幅画是印象派个大师级作,嗰幅画系印象派嘅大师级作品,0.3076923076923077
27,拉垃赤道附近一个邪气笑个区域个热带雨林勿停个受到人类个破坏预计拉垃两零零零年之前搿个区域个五分之四个热带雨林将会得从地球浪消失,喺赤道附近一个狭窄区域嘅热带雨林而家不断咁俾人类破坏紧预计喺二零零零年之前嗰个区域会有五分之四嘅热带雨林喺地球度消失,0.42857142857142855
28,侬应该学会控制自家个情绪,你应该学吓控制自己嘅情绪,0.3333333333333333
29,屋里向乱七八糟也呒没问题个但龌龊个闲话我是勿能够接受个,啲屋狗窦咁乱我都顶得顺但系污糟嘅话我就接受唔到,0.8518518518518519
30,伊像啥事体侪依靠老公个,佢咩事都靠晒个老公,0.7272727272727273
31,坐了角落里个哀个男人是啥人,坐喺角落头嗰个男人系边个嚟㗎,0.6428571428571429
32,谢谢侬拿搿个故事从头到底讲拨阿拉听,唔该你将个故事由头到尾讲晒俾我地听,0.6470588235294118
33,侬可以带我去伐,你可唔可以带我去呀,0.4444444444444444
34,侬一定要考虑清爽侬想做哪能样个工作,你一定要谂清楚你想做啲点嘅工,0.5882352941176471
35,侬放假打算到啊里耷去白相呢,你放假谂住去边度玩呀,0.8461538461538461
36,伊拿苹果一劈两,佢将个苹果切开咗两分,0.7
37,搿些树是伊拉种个,呢啲树系佢哋种嘅,0.75
38,瑞士人大多数会得讲三四种语言,瑞士人多数识讲三四种语言,0.21428571428571427
39,搿房间是禁止吃香烟个,呢间房唔俾食烟㗎,0.8
40,我一走路搿搭就老痛个,我一行路呢度就痛到好犀利,0.6666666666666666
41,伊除脱懂得弹钢琴还懂得弹吉他,佢除咗识弹琴仲识弹结他添,0.7142857142857143
42,伊会得弹钢琴伐,佢识唔识弹琴㗎,0.8571428571428571
43,我想伊要花两个钟头才好挪工作做光,我谂佢要用两粒钟先至做得晒啲嘢,0.75
44,我老想拉垃 Tatoeba 浪写交关交关句子但是我有别个事体要做,我真系好想喺 Tatoeba 写好多好多句句子但系我有第二啲嘢要做,0.48484848484848486
45,阿拉还是等老师决定伐,我哋都系等老师话事啦,0.7
46,圣诞节到快生意也好点,圣诞节就快到生意都好咗啲,0.4166666666666667
47,榔头剪刀纸头,包剪𢱕,0.8333333333333334
48,我要帮侬讲再会了,我要同你讲拜拜喇,0.625
49,对个我有桩事体要跟侬讲,话时话我有啲嘢要同你讲,0.7272727272727273
50,搿搭附近个电话亭少了可怜,呢度附近啲电话亭少到阿妈都唔认得,0.625
51,汤姆今朝要留拉屋里向伐,阿 Tom 今日使唔使留喺屋企呀,0.875
52,侬可以告诉我我错拉阿里搭伐,你可唔可以话我知我错喺边呀,0.8461538461538461
53,电影好看伐,套戏好唔好睇呀,0.8571428571428571
54,啥个水果是红颜色个,有咩生果系红色㗎,0.6666666666666666
55,侬是哪能认得伊个,你点识佢㗎,1.0
56,伊走路个辰光常常拿一只手插拉裤袋里,佢行路嗰阵成日插只手落个裤袋度,0.7058823529411765
57,天色开始暗了麻烦侬帮我开灯,个天开始黑啰喎唔该帮我开咗盏灯佢吖,0.6470588235294118
58,阿拉以前住个房子被拆脱了,我哋以前住嗰间屋俾人拆咗喇,0.6923076923076923
59,搿间学堂女小人比男小人多,呢间学校女仔多过男仔,0.6666666666666666
60,伊每天早浪向侪会喝一杯水,佢朝朝早都会饮一杯水,0.5833333333333334
61,我垃海搿搭住了三十年了,我喺呢度住咗卅年喇,0.7272727272727273
62,侬告诉了我以后我侪晓得搿份文件有得多少重要,你话咗俾我听之后我先知呢份文件有几咁紧要,0.6666666666666666
63,阿拉姆妈搿辰光比我还要年轻,我阿妈嗰阵仲后生过我,0.9230769230769231
64,我想跟一个欢喜打电动个小姑娘结婚,我想同一个锺意打机嘅女仔结婚,0.5625
65,可以再拨我一点咖啡伐,可唔可以再俾啲咖啡我呀,0.7272727272727273
66,搿房间太小了装勿牢五十个人,呢间房细得济喇装唔落五十个人,0.5714285714285714
67,中国是亚洲最大个国家,中国系亚洲最大嘅国家,0.2
68,勿用怕伊勿会伤害侬个,唔使惊佢唔会伤害你嘅,0.7
69,伊垃海学堂参加了交关活动,佢喺学校参加咗好多活动,0.5833333333333334
70,我礼拜天下半天三点钟会来看侬,我星期日晏昼三点会嚟探你,0.7142857142857143
71,侬收作好物事了伐,你执好晒啲嘢未呀,1.0
72,喏伊来了,睇吓佢嚟咗喇,1.0
73,伊帮我拿手表修理好了,佢帮我整好咗只表,0.8
74,搿搭要当心扒手,呢度要因住俾人挞嘢,0.8888888888888888
75,搿台子跟阿拉屋里向个一样大,呢张枱同我哋屋企嗰张一样大,0.6923076923076923
76,请侬拿侬个名字跟电话号头告诉我,唔该你话你个名同电话号码俾我听吖,0.75
77,老实讲我其实想留拉屋里向勿想出来个,老实讲我其实想留喺屋企唔想出街㗎,0.35294117647058826
78,阿拉可以继续白相勿要吵到别人就可以了,我哋可以继续玩唔好嘈到人就得喇,0.6111111111111112
79,哀个是啥声音,咩声嚟,0.8333333333333334
80,侬应该去看牙医拿牙拔脱,你应该去睇牙医掹咗只牙佢,0.5833333333333334
81,请侬告诉我机场哪能去,唔该你话我听机场点去吖,0.7272727272727273
82,搿房子里向有多少只猫,呢间屋入面有几多只猫呀,0.7272727272727273
83,勿要忘记脱拿书还拨图书馆,唔好唔记得还返本书俾图书馆喎,0.7142857142857143
84,箇本簿子是啥人个,嗰本簿系边个㗎,0.75
85,勿要边吃物事边讲言话,唔好一路食嘢一路讲嘢,1.0
86,伊老少写信拨伊个爷娘,佢好少写信俾佢阿爸阿妈,0.7272727272727273
87,我个书垃海阿里搭,我本书喺边,0.75
88,侬讲了忒快了我听勿懂侬可以讲慢一眼伐,你讲得太快喇我听唔明你可唔可以讲慢少少呀,0.6
89,侬相信也好勿相信也好对我来讲呒没啥分别,你信又好唔信又好对我嚟讲无咩分别,0.5263157894736842
90,我做梦也呒没想到会得垃搿耷踫着侬个,我发梦都无谂过会喺呢度撞到你,0.8235294117647058
91,我年轻个辰光常常去打棒球,我后生嗰阵成日去打棒球,0.5833333333333334
92,开摩托车勿戴头盔是老危险个,揸电单车唔戴头盔好危险㗎,0.5384615384615384
93,我想垃海爸爸妈妈回来之前拿房子打扫干净,我想喺阿爸阿妈返嚟之前执干净间屋,0.6842105263157895
94,有眼苹果从书高头落了下来,有啲苹果喺棵树度跌咗落嚟,0.75
95,阿拉挪门涂成了绿颜色,我哋将道门油咗做绿色,0.8
96,如果勿落雨个言话侬可以去踏脚踏车,如果唔落雨嘅话你可以去踩单车,0.4375
97,我想买眼阿司匹林,我想买啲阿士匹灵,0.375
98,侬看看侬吃得来整个嘴巴侪是个了,你睇吓你食到成个口都系喇,0.9333333333333333
99,侬意大利文讲得来伐,你识唔识讲意大利文㗎,0.9
100,有棵树倒下来了拿条路砬断了,有棵树冧咗落嚟塞住咗条路,0.7692307692307693
101,伊拿本书裁脱了,佢撕烂咗本书,1.0
102,老公上床啦勿来自啊我还要拉垃 Tatoeba 浪翻翻几句句子哦,老公上床啦未得住呀我要喺 Tatoeba 翻译多几句句子先呀,0.3870967741935484
103,侬英文讲得来伐,你识唔识讲英文㗎,0.875
104,伊是个好人,佢系个好人,0.4
105,永远勿要忘记关火,千祈唔好唔记得熄火,0.7777777777777778
106,滚蛋,死开,1.0
107,侬开了太快了,你揸得太快喇,0.6666666666666666
108,我看电视看了怨煞了,我睇电视睇到厌喇,0.6666666666666666
109,有问题就问好唻,有问题随便问,0.5714285714285714
110,悉尼离箇墶老远个,雪梨离呢度好远㗎喎,0.7777777777777778
111,我从来呒没看过伊穿牛仔裤,我冇见过佢着牛仔裤,0.5833333333333334
112,京都有老多个神社,京都有好多神社,0.25
113,我当辰光勿晓得该哪能办,我嗰阵时唔知点做先好,0.9090909090909091
114,滚蛋,躝开啦,1.0
115,伊个母语是法国闲话,佢嘅母语系法文,0.6666666666666666
116,哀个垃海拉小提琴个男人是啥人,拉紧小提琴嗰个人系边个嚟㗎,0.8571428571428571
117,人人侪讲我看上起像阿拉爸爸,啲人个个都话我同我老豆好似样,0.9285714285714286
118,我垃海浇花,我喺度帮紧啲花淋水,0.7777777777777778
119,静一点好伐,静D啦,0.8
120,我勿是魔法师,我唔系魔术师,0.5
121,我个书垃海阿里搭,我本书喺边,0.75
122,侬哪恁勒啦,搞咩呀你,1.0
123,阿里簿书是侬额,边本书系你㗎,0.8571428571428571
124,钥匙孛相勿来个,梦玩条锁匙啦,1.0
125,只老鼠死个还活个,只老鼠生定死架,0.625
126,再会,拜拜,1.0
127,侬哪能,你点呀,1.0
128,侬会得讲英文伐,你识唔识讲英文㗎,0.625
129,谢谢侬噢,唔该,1.0
130,阿拉学习中国言话,我哋学中文,0.75
131,悉尼离箇墶老远个,雪梨离呢度好远㗎喎,0.7777777777777778
132,悉尼是澳大利亚最大个城市,悉尼系澳洲最大嘅城市,0.4166666666666667
133,世界哴向有超过八十万个人讲巴斯克言话,世界上有超过八十万人讲巴斯克文,0.2777777777777778
134,世界哴向有超过八十万个人讲巴斯克言话,世界上有超过八十万人讲巴斯克文,0.2777777777777778
135,侬比我高,你高过我,1.0
136,侬好伐,你点呀,1.0
137,侬为啥勿相信我,你点解唔信我呀,0.8571428571428571
138,伊拉爷娘对伊期望过高,佢阿爸阿妈对佢期望过高,0.5454545454545454
139,覅隑了墙头浪,唔好挨埋埲墙度,1.0
